"Lines","RelativePath"
"1641","ui\features\upload\UploadScreen.kt"
"1513","ui\features\document\DocumentDetailScreen.kt"
"1189","ui\common\CommonComponents.kt"
"1161","ui\features\about\AboutScreen.kt"
"1094","ui\features\profile\ProfileScreen.kt"
"1023","ui\features\video\VideoDetailScreen.kt"
"991","ui\features\home\HomeScreen.kt"
"989","ui\features\home\components\HomeFeedCard.kt"
"950","ui\navigation\NotesSharingApp.kt"
"869","ui\features\home\HomeViewModel.kt"
"790","ui\features\upload\UploadViewModel.kt"
"777","ui\features\profile\EditProfileScreen.kt"
"739","core\widget\ContinueLearningWidget.kt"
"714","ui\features\home\components\ContinueReadingCard.kt"
"702","ui\features\auth\SignUpScreen.kt"
"667","ui\common\LiquidContributorCard.kt"
"636","data\repository\UploadRepository.kt"
"635","ui\features\onboarding\UpdatesPage.kt"
"612","ui\features\explore\ExploreViewModel.kt"
"590","ui\features\document\DocumentDetailViewModel.kt"
"589","ui\features\explore\components\ExploreSuccessContent.kt"
"551","ui\features\trending\components\TrendingNoteDiscoveryCardContent.kt"
"526","data\service\DownloadForegroundService.kt"
"521","ui\features\auth\GoogleOnboardingScreen.kt"
"516","ui\features\explore\components\TrendingNoteCard.kt"
"488","ui\features\explore\SubjectResourcesScreen.kt"
"482","ui\features\myfiles\MyBookmarksScreen.kt"
"462","ui\features\profile\components\ProfileHeaderCard.kt"
"430","ui\features\myfiles\MyUploadsScreen.kt"
"416","ui\features\myfiles\MyFilesScreen.kt"
"390","ui\features\document\AttachmentPreviewCard.kt"
"381","ui\features\auth\LoginScreen.kt"
"370","ui\features\upload\UploadSuccessScreen.kt"
"365","ui\features\search\components\SearchResultCard.kt"
"364","data\repository\TrendingFeedRepository.kt"
"356","ui\features\profile\NotificationPreferencesScreen.kt"
"349","ui\features\home\components\HomeSuccessContent.kt"
"348","ui\features\explore\ExploreScreen.kt"
"329","ui\common\CustomPullRefreshIndicator.kt"
"322","ui\features\documentViewing\components\PdfViewerContent.kt"
"317","ui\common\navigation\WaterBottomBar.kt"
"313","ui\common\loading\KnowledgeNetworkLoading.kt"
"308","ui\features\explore\components\ScrollableRowWithIndicator.kt"
"292","data\mapper\ExploreMapper.kt"
"291","ui\features\home\components\PremiumGreetingBlock.kt"
"289","data\repository\DocumentDetailRepository.kt"
"288","ui\features\explore\SubjectResourcesViewModel.kt"
"288","ui\features\explore\components\MonkeyScrollbar.kt"
"284","ui\features\onboarding\UpdatesScreen.kt"
"283","ui\features\explore\components\SquirrelScrollbar.kt"
"278","ui\features\explore\ExamPrepScreen.kt"
"276","ui\features\auth\AuthViewModel.kt"
"273","ui\common\utils\SubjectBadgeUtils.kt"
"271","ui\features\explore\components\VideoRecommendationCard.kt"
"267","ui\features\search\SearchScreen.kt"
"262","ui\features\myfiles\MyFilesViewModel.kt"
"260","ui\common\navigation\WaterSurface.kt"
"256","ui\common\LiquidTransferProgressBar.kt"
"256","ui\common\ReportBottomSheet.kt"
"246","ui\features\onboarding\components\ConvergingResources.kt"
"240","ui\common\loading\StartupLoadingScreen.kt"
"240","data\mapper\ExploreRoomMapper.kt"
"239","ui\features\auth\WelcomeScreen.kt"
"238","core\widget\QuickActionsWidget.kt"
"234","ui\features\explore\AssignmentsScreen.kt"
"232","ui\features\profile\ProfileViewModel.kt"
"220","data\local\preferences\DownloadDataStoreManager.kt"
"219","domain\model\UiModels.kt"
"210","data\repository\BookmarkRepository.kt"
"209","ui\features\trending\TrendingNotesViewModel.kt"
"208","core\firebase\FirestoreUserService.kt"
"206","ui\common\BottomNavBar.kt"
"206","ui\features\explore\RecommendedVideosScreen.kt"
"205","data\repository\VideoDetailRepository.kt"
"200","ui\features\onboarding\components\CommunitySection.kt"
"195","ui\common\loading\StudyLoadingIndicator.kt"
"194","data\service\DownloadService.kt"
"193","ui\features\search\SearchViewModel.kt"
"190","domain\model\ExploreModels.kt"
"189","ui\features\onboarding\UpdatesPager.kt"
"185","ui\features\documentViewing\PdfViewingScreen.kt"
"185","ui\features\onboarding\components\ResourceCards.kt"
"184","ui\features\trending\components\TrendingNotesContent.kt"
"184","data\repository\UpvoteRepository.kt"
"183","ui\features\document\ImagePreviewCard.kt"
"174","data\repository\ReportRepository.kt"
"173","ui\features\documentViewing\ImageViewingScreen.kt"
"171","ui\features\search\components\SearchFilterDropdown.kt"
"165","ui\common\CommonThumbnailPlaceholders.kt"
"165","ui\features\document\AttachmentPreviewSection.kt"
"163","data\repository\ExploreRepository.kt"
"160","ui\features\documentViewing\PdfViewingViewModel.kt"
"157","domain\model\DocumentDetail.kt"
"152","ui\features\trending\components\TrendingNoteDiscoveryShimmerCard.kt"
"150","data\repository\SearchRepository.kt"
"149","ui\features\document\SingleImagePreviewCard.kt"
"147","MainActivity.kt"
"146","data\repository\ContinueLearningRepository.kt"
"145","data\repository\RecentlyOpenedRepository.kt"
