"Path","Lines","Composables"
"ui\features\upload\UploadScreen.kt","1641","25"
"ui\features\document\DocumentDetailScreen.kt","1513","7"
"ui\common\CommonComponents.kt","1189","14"
"ui\features\about\AboutScreen.kt","1161","15"
"ui\features\profile\ProfileScreen.kt","1094","11"
"ui\features\video\VideoDetailScreen.kt","1023","9"
"ui\features\home\HomeScreen.kt","991","4"
"ui\features\home\components\HomeFeedCard.kt","989","6"
"ui\navigation\NotesSharingApp.kt","950","1"
"ui\features\home\HomeViewModel.kt","869","0"
"ui\features\upload\UploadViewModel.kt","790","0"
"ui\features\profile\EditProfileScreen.kt","777","3"
"ui\features\home\components\ContinueReadingCard.kt","714","2"
"ui\features\auth\SignUpScreen.kt","702","1"
"ui\common\LiquidContributorCard.kt","667","2"
"ui\features\onboarding\UpdatesPage.kt","635","7"
"ui\features\explore\ExploreViewModel.kt","612","0"
"ui\features\document\DocumentDetailViewModel.kt","590","0"
"ui\features\explore\components\ExploreSuccessContent.kt","589","2"
"ui\features\trending\components\TrendingNoteDiscoveryCardContent.kt","551","4"
"ui\features\auth\GoogleOnboardingScreen.kt","521","1"
"ui\features\explore\components\TrendingNoteCard.kt","516","2"
"ui\features\explore\SubjectResourcesScreen.kt","488","2"
"ui\features\myfiles\MyBookmarksScreen.kt","482","1"
"ui\features\profile\components\ProfileHeaderCard.kt","462","2"
"ui\features\myfiles\MyUploadsScreen.kt","430","2"
"ui\features\myfiles\MyFilesScreen.kt","416","2"
"ui\features\document\AttachmentPreviewCard.kt","390","4"
"ui\features\auth\LoginScreen.kt","381","1"
"ui\features\upload\UploadSuccessScreen.kt","370","6"
"ui\features\search\components\SearchResultCard.kt","365","1"
"ui\features\profile\NotificationPreferencesScreen.kt","356","3"
"ui\features\home\components\HomeSuccessContent.kt","349","1"
"ui\features\explore\ExploreScreen.kt","348","2"
"ui\common\CustomPullRefreshIndicator.kt","329","1"
"ui\features\documentViewing\components\PdfViewerContent.kt","322","2"
"ui\common\navigation\WaterBottomBar.kt","317","1"
"ui\common\loading\KnowledgeNetworkLoading.kt","313","1"
"ui\features\explore\components\ScrollableRowWithIndicator.kt","308","1"
"ui\features\home\components\PremiumGreetingBlock.kt","291","2"
"ui\features\explore\SubjectResourcesViewModel.kt","288","0"
"ui\features\explore\components\MonkeyScrollbar.kt","288","2"
"ui\features\onboarding\UpdatesScreen.kt","284","1"
"ui\features\explore\components\SquirrelScrollbar.kt","283","2"
"ui\features\explore\ExamPrepScreen.kt","278","2"
"ui\features\auth\AuthViewModel.kt","276","0"
"ui\common\utils\SubjectBadgeUtils.kt","273","1"
"ui\features\explore\components\VideoRecommendationCard.kt","271","1"
"ui\features\search\SearchScreen.kt","267","2"
"ui\features\myfiles\MyFilesViewModel.kt","262","0"
"ui\common\navigation\WaterSurface.kt","260","1"
"ui\common\ReportBottomSheet.kt","256","1"
"ui\common\LiquidTransferProgressBar.kt","256","1"
"ui\features\onboarding\components\ConvergingResources.kt","246","2"
"ui\common\loading\StartupLoadingScreen.kt","240","1"
"ui\features\auth\WelcomeScreen.kt","239","2"
"ui\features\explore\AssignmentsScreen.kt","234","2"
"ui\features\profile\ProfileViewModel.kt","232","0"
"ui\features\trending\TrendingNotesViewModel.kt","209","0"
"ui\common\BottomNavBar.kt","206","1"
"ui\features\explore\RecommendedVideosScreen.kt","206","3"
"ui\features\onboarding\components\CommunitySection.kt","200","2"
"ui\common\loading\StudyLoadingIndicator.kt","195","1"
"ui\features\search\SearchViewModel.kt","193","0"
"ui\features\onboarding\UpdatesPager.kt","189","1"
"ui\features\documentViewing\PdfViewingScreen.kt","185","2"
"ui\features\onboarding\components\ResourceCards.kt","185","2"
"ui\features\trending\components\TrendingNotesContent.kt","184","1"
"ui\features\document\ImagePreviewCard.kt","183","2"
"ui\features\documentViewing\ImageViewingScreen.kt","173","2"
"ui\features\search\components\SearchFilterDropdown.kt","171","1"
"ui\common\CommonThumbnailPlaceholders.kt","165","9"
"ui\features\document\AttachmentPreviewSection.kt","165","1"
"ui\features\documentViewing\PdfViewingViewModel.kt","160","0"
"ui\features\trending\components\TrendingNoteDiscoveryShimmerCard.kt","152","1"
"ui\features\document\SingleImagePreviewCard.kt","149","1"
"ui\features\explore\ExploreExpandedListScaffold.kt","143","1"
"ui\features\documentViewing\ImageViewingViewModel.kt","141","0"
"ui\features\search\components\SearchTextField.kt","141","1"
"ui\features\video\VideoDetailViewModel.kt","137","0"
"ui\features\trending\components\TrendingNoteMetadata.kt","133","2"
"ui\common\utils\FileSharingUtils.kt","131","0"
"ui\features\profile\NotificationPreferencesViewModel.kt","125","0"
"ui\features\trending\TrendingNotesRoute.kt","120","1"
"ui\features\document\DocumentMetadataSection.kt","117","1"
"ui\features\explore\components\DiscoverFeedItem.kt","117","2"
"ui\features\documentViewing\components\PdfNetworkErrorView.kt","116","1"
"ui\features\trending\components\TrendingNoteStats.kt","109","1"
"ui\common\AdaptiveScrollbar.kt","105","2"
"ui\common\states\DocumentErrorState.kt","105","1"
"ui\features\search\components\RecentSearchSection.kt","104","1"
"ui\features\document\UploaderInfoCard.kt","103","1"
"ui\theme\Theme.kt","101","1"
"ui\common\UiStates.kt","99","0"
"ui\features\trending\components\TrendingNoteCard.kt","87","1"
"ui\navigation\AppDestination.kt","83","0"
"ui\features\document\PdfPreviewCard.kt","83","1"
"ui\features\explore\DiscoverScreen.kt","83","2"
"ui\features\trending\components\TrendingNoteThumbnail.kt","81","1"
"ui\features\search\components\SearchLoadingState.kt","81","1"
"ui\features\document\RelatedDocumentsSection.kt","81","1"
"ui\features\documentViewing\components\ZoomableImage.kt","79","1"
"ui\features\myfiles\BookmarkViewModel.kt","75","0"
"ui\features\upload\UploadUiState.kt","74","0"
"ui\common\navigation\WaterPhysics.kt","73","0"
"ui\common\navigation\WaterNavItem.kt","70","1"
"ui\features\trending\components\TrendingNotesHeader.kt","68","1"
"ui\features\documentViewing\components\PdfErrorView.kt","67","1"
"ui\features\onboarding\components\AchievementBubbles.kt","66","1"
"ui\features\explore\components\ContributorCard.kt","65","1"
"ui\features\explore\components\CollectionCard.kt","64","1"
"ui\features\explore\components\ExamPrepBanner.kt","62","1"
"ui\features\search\components\SearchErrorState.kt","61","1"
"ui\features\search\SearchUiState.kt","61","0"
"ui\features\documentViewing\components\ImageErrorView.kt","61","1"
"ui\features\profile\ContributorStatsViewModel.kt","60","0"
"ui\features\onboarding\components\PageIndicator.kt","57","1"
"ui\features\explore\components\PressScaleSurface.kt","57","1"
"ui\features\explore\components\TrendingNoteShimmer.kt","56","1"
"ui\features\about\AppSettingsViewModel.kt","50","0"
"ui\features\trending\TrendingNotesScreen.kt","49","1"
"ui\features\explore\components\Thumbnail.kt","48","1"
"ui\features\explore\components\SmallMetric.kt","47","1"
"ui\features\explore\components\RevisionCard.kt","47","1"
"ui\features\search\components\SearchEmptyState.kt","46","1"
"ui\features\onboarding\data\OnboardingPages.kt","44","0"
"ui\features\explore\components\SubjectChip.kt","40","1"
"ui\theme\Type.kt","40","0"
"ui\common\AppBottomBar.kt","37","1"
"ui\common\navigation\model\WaterWaveState.kt","37","0"
"ui\features\explore\components\ExploreHeader.kt","35","1"
"ui\features\auth\AuthUiState.kt","23","0"
"ui\features\documentViewing\components\ImageViewerContent.kt","22","1"
"ui\features\documentViewing\components\ImageLoadingView.kt","21","1"
"ui\features\documentViewing\components\PdfLoadingView.kt","21","1"
"ui\theme\Color.kt","21","0"
"ui\features\search\SearchEvents.kt","18","0"
"ui\features\trending\TrendingNotesUiState.kt","18","0"
"ui\common\utils\DocumentTypeUtils.kt","17","0"
"ui\features\document\AttachmentCard.kt","8","0"
"ui\features\document\DocumentPreviewSection.kt","8","0"
"ui\features\auth\AuthState.kt","1","0"
"ui\features\auth\SplashScreen.kt","1","0"
